time,url,rate(s),listening time(min)
2023/4/26 17:58,https://twitter.com/i/spaces/1kvJpmabAnmxE,10,55
2023/4/26 18:58,https://twitter.com/i/spaces/1dRJZMOjMpdGB?s=20,10,25
2023/4/26 18:58,https://twitter.com/i/spaces/1YqKDoQpNBOxV,10,45
2023/4/26 19:58,https://twitter.com/i/spaces/1lDxLnXnlzkGm,10,30
2023/4/26 19:58,https://twitter.com/i/spaces/1jMJgLEkZqAxL,10,20
2023/4/26 20:58,https://twitter.com/i/spaces/1YpKkgLBjpXKj,10,30
2023/4/26 21:58,https://twitter.com/i/spaces/1PlKQprDEQqxE,10,5
2023/4/26 22:58,https://twitter.com/i/spaces/1ypJddYqqvgJW,10,5
2023/4/26 23:58,https://twitter.com/i/spaces/1BRJjZekgvpJw,10,20
2023/4/26 23:58,https://twitter.com/i/spaces/1kvJpmaWzwZxE,10,30
2023/4/27 0:58,https://twitter.com/i/spaces/1zqKVPLPlRLJB,10,35
2023/4/27 1:58,https://twitter.com/i/spaces/1ynJOaYDEwnKR,10,45
